texture_class,hydrologic_soil_group,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,total_porosity,field_capacity_porosity,wilting_point_porosity,available_water_capacity,ksat_cm_day,ksat_in_hr,k_fc_cm_day,k_wp_cm_day,theta_r,vg_alpha_1cm,vg_n,k0_cm_day,mualem_L,implausible_bd
silt loam,B,20,65,15,0.8,0.5568754288833548,0.45824335821722817,0.14567600441349404,0.3125673538037341,330.143532124622,5.415740356375033,0.06948005810251247,2.8682490690610786e-07,0.09186397122745396,0.0028840736873856857,1.5721917790363897,1.5146845398446414,0.7459819153549374,False
silt loam,B,20,65,15,0.9,0.5269626292624365,0.4309906309119738,0.13778416153960418,0.2932064693723696,203.42919737455006,3.337093132784614,0.05572168825516339,2.1863230701909363e-07,0.08820868465156186,0.002967233529388344,1.5742097982798857,1.285827825048139,0.7413135075684543,False
silt loam,B,20,65,15,1.0,0.4992012532210762,0.4041102472261982,0.1309713757407537,0.27313887148544447,127.72524072225083,2.0952303268085766,0.04583096285829605,1.978932349714959e-07,0.08515401407162665,0.0031228476428262946,1.5720235619282636,1.1660869056916234,0.6675942919202075,False
silt loam,B,20,65,15,1.1,0.47342758847827004,0.3782713538205721,0.12527110988293969,0.25300024393763243,81.42044973354388,1.335637298778607,0.038213830968688,2.0177729331814107e-07,0.08255705098910644,0.0033408604440484245,1.5653815546078165,1.1087974091189412,0.5533181432132339,False
silt loam,B,20,65,15,1.2,0.4494033260776566,0.35386974275984956,0.12068971429754763,0.23318002846230193,52.34874568345541,0.8587392664608827,0.03211628395686879,2.2172155578558707e-07,0.08033576889372805,0.003617784726679206,1.5539862703376803,1.0954059567008279,0.42217195437031113,False
silt loam,B,20,65,15,1.3,0.4268056269288202,0.33113321533798135,0.11718023304568406,0.21395298229229728,33.89493625646347,0.5560192955456605,0.026997693159117223,2.559775800867836e-07,0.07841024745249225,0.003952475772462091,1.5376836087790118,1.1101922135180948,0.28410019307642326,False
silt loam,B,20,65,15,1.4,0.40524099593174595,0.3102184381663784,0.11472453459652339,0.19549390356985502,22.196433958122395,0.36411473028416,0.0226489719604876,3.083679486732513e-07,0.07671387564318151,0.0043430053278663205,1.516242777468778,1.1442636718259447,0.14095080475959418,False
silt loam,B,20,65,15,1.5,0.38427983313055847,0.29124308316538317,0.11344775765198513,0.17779532551339805,14.734741570734812,0.24171163993987552,0.018980222186579403,3.8933587063717674e-07,0.07524748232947467,0.00478839417119107,1.4889841550221055,1.1947364537384615,-0.010113039957057425,False
silt loam,B,20,65,15,1.6,0.3635520873992992,0.27414731857815866,0.11353654631985641,0.16061077225830225,9.941858553709451,0.1630882308679372,0.015912197896132994,5.195594444240015e-07,0.07405021406597356,0.005302825012320014,1.4551049140516905,1.2690208948054165,-0.17781924714408126,False
silt loam,B,20,65,15,1.7,0.3429413225277107,0.25860817834162103,0.11489044796859466,0.14371773037302638,6.902486859150282,0.11322977131152037,0.013440087627327069,7.318640976510916e-07,0.07315598712773888,0.005923707469146716,1.415819697592249,1.3904945360715955,-0.375581532762253,False
silt loam,B,20,65,15,1.8,0.32273138740339147,0.2440452745278416,0.11679799840756375,0.12724727612027786,5.085562953215183,0.08342458912754565,0.01166449432150914,1.072093122437238e-06,0.07267796493749226,0.0067091310756713885,1.3760759570010759,1.6027477835248922,-0.6171556921735261,True
