texture_class,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,total_porosity,field_capacity_porosity,wilting_point_porosity,available_water_capacity
silty clay loam,10,56,34,0.9,0.5783591617760322,0.45961526168574074,0.19220900240990518,0.26740625927583556
silty clay loam,10,56,34,1.0,0.5485014210732071,0.4380889184105285,0.18587347872309296,0.25221543968743554
silty clay loam,10,56,34,1.1,0.5197750797398534,0.41614803563341607,0.1805698395013231,0.23557819613209297
silty clay loam,10,56,34,1.2,0.4920425122502677,0.3945898428619691,0.17646446843102653,0.21812537443094254
silty clay loam,10,56,34,1.3,0.46514505999159267,0.3738683722415149,0.17359800579850002,0.2002703664430149
silty clay loam,10,56,34,1.4,0.4389190579548988,0.35421502208926753,0.17196227461180946,0.18225274747745807
silty clay loam,10,56,34,1.5,0.41317383080066583,0.33567518204834146,0.17154771377058542,0.16412746827775604
silty clay loam,10,56,34,1.6,0.38767468064628857,0.3181324819868142,0.1723898426369808,0.14574263934983342
silty clay loam,10,56,34,1.7,0.3624207303796356,0.3012497706227949,0.17407761360903362,0.12717215701376128
silty clay loam,10,56,34,1.8,0.33795353077733387,0.28467957918629194,0.1754568528510008,0.10922272633529115
silty clay loam,10,56,34,1.9,0.3145880660156307,0.2681778261015664,0.1756656125750894,0.09251221352647698
silty clay loam,10,56,34,2.0,0.2926746113954076,0.25165697481302973,0.1741968812360959,0.07746009357693384
sandy clay,50,7,43,0.8,0.6163216292358151,0.40795835370778966,0.22188322788077178,0.18607512582701788
sandy clay,50,7,43,0.9,0.5901103292467634,0.39840608991040705,0.2157060573274353,0.18270003258297174
sandy clay,50,7,43,1.0,0.5643616165138553,0.38565082953370833,0.20944771380312005,0.17620311573058828
sandy clay,50,7,43,1.1,0.5389339369582147,0.37180843550609133,0.20373184905662073,0.1680765864494706
sandy clay,50,7,43,1.2,0.5136879565518744,0.3579633520868031,0.19897785144795982,0.15898550063884326
sandy clay,50,7,43,1.3,0.4883406616295432,0.3446733164641794,0.19549148219081547,0.14918183427336396
sandy clay,50,7,43,1.4,0.4625350680246719,0.3322475987555942,0.19351388181056323,0.13873371694503095
sandy clay,50,7,43,1.5,0.43597337039340067,0.3208465863576392,0.19346073468857816,0.12738585166906102
sandy clay,50,7,43,1.6,0.4083071423802482,0.3104541941888657,0.1959199889426994,0.11453420524616631
sandy clay,50,7,43,1.7,0.3795667620209542,0.2999758795358766,0.20013240783412928,0.09984347170174734
sandy clay,50,7,43,1.8,0.3504768881640114,0.28752954999012237,0.2032862758536093,0.08424327413651306
sandy clay,50,7,43,1.9,0.32209787205209495,0.2723842585934899,0.20295830069503312,0.06942595789845679
sandy clay,50,7,43,2.0,0.2957565400341977,0.25566154986964024,0.19906171100274828,0.05659983886689196
silty clay,7,47,46,0.8,0.6351579750308892,0.47338175904320634,0.22426296370259935,0.249118795340607
silty clay,7,47,46,0.9,0.6048607364097996,0.45975913150198877,0.21864228094967864,0.24111685055231014
silty clay,7,47,46,1.0,0.575257646153829,0.44298531605449887,0.21335990074497,0.22962541530952887
silty clay,7,47,46,1.1,0.5462622815206578,0.4246292838290495,0.20876577601587032,0.2158635078131792
